x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,y
49.6,51.21929825,51.9,54.4,51.6,62.45897436,58.78421053,56.4,67.70144928,74.84190476,65.42179487,59.17407407,57.15955056,50.975,59.67241379,64.2,60,60.3,77,51.1,62.6,70.7,42.95616438,57.74660194,61.62307692,83.2,67.11052632,51.45243902,54.04,75.0304878,65.10564516,68.39933333,61.93956522,63.9,60,60.4,0
59.1,73.1,68.08860759,69.93703704,33.13291139,58.10526316,63.21847826,82.77721519,71.60711111,55.45323741,50.85194805,55.55,73.61325301,77.08846154,61.71258741,58.7,60.1,60.8,74.5,78.3,59.3,73.1,67.42,63.6984127,59.63928571,39.8,58.49733333,62.65253165,68.25120482,49.24654088,70.73049327,64.77361963,61.54898649,53.1,60,60.4,1
68.8,59.3617284,70.6,89.1,66.5,56.09858156,76.84125,75.97407407,66.66358696,79.9049505,42.35189873,80.06875,71.325,65.4728972,59.69701493,59.3,60,60.6,72.5,69.9,47.7,51.5,56.3,47.6627451,61.53478261,46.8,58.06875,44.6,59.42690058,48.43515358,57.33270142,54.76779661,60.22883212,60.3,60,60.3,1
54.9,50.84722222,75.5,72.9,35.3,58.34303797,69.94556962,63.9,59.46824324,64.06,52.83934426,63.77656904,62.16575342,54.45461538,60.83950178,60.7,60.008,60.29411765,82.75172414,41.51864407,83.6,64.7,60,73.50694444,57.88604651,88.3,65.3,60.9,65.98529412,50.87401575,63.33734177,69.4951049,63.33465704,64.5,60,60.7,0
69.22058824,59.8,77.1,64.72941176,67.7,56.55784314,65.84929577,86.6,61.97365269,58.1,57.93333333,59.14834123,65.38793103,63.55833333,62.13276596,63.1,60,60.1,73.56557377,51.3,64.8,65.02131148,48,59.86,71.98253968,66.1,59.73772455,67.45302013,57.94552846,55.8993865,60.39322034,55.50588235,61.03584071,64.5,60,60.7,1
67.2,64,79.7,58.3,64.1,80.84311927,62.8939759,78.5,57.63743842,72.99448276,46.06984127,65.25035461,54.33352941,63.86965517,61.78897959,63.1,60,60.2,77.4,68.716,83,57.6,63.5,55.65934066,62.88552632,82.5,69.75974026,61.042,55.74294479,52.42996516,63.34449153,56.84262295,60.78151261,73.5,60,60.5,0
87.4,75.3,56.4,42.12777778,71.8,49.52195122,58.1925,66.7,64.7979798,72.88714286,54.23362069,56.34252874,61.19863014,65.85257143,58.19761905,56.5,60,60.6,57.4,67.86969697,54.2,74.3,57,66.85842697,68.85,54.14891304,70.29913043,68.4928,58.47537313,74.41554054,66.93269231,77.73389831,64.41573427,61,60,60.8,0
31.7,82.4,77.1,51.2,60.2,56.9125,61.10140845,71.9,67.11967213,81.70327869,56.08640777,65.41649485,46.95769231,60.44796748,63.11974249,63.9,60,60.2,73.2,69.63384615,68.4,51.3,80.6,63.98039216,70.52705882,52.44153846,63.48888889,55.48888889,66.74318182,61.71074074,62.267,67.4106383,59.47336245,56,60,60.5,0
59.4,51.7,53.0060241,58.76746988,71.6,48.74042553,57.23888889,57.2,55.82467532,58.53846154,81.18571429,55.72126437,61.18888889,46.69166667,58.92988048,62.037,60,60.3,43.2,65.9,45.2,68.34807692,37.5,52.86428571,69.09615385,90.3,67.78688525,67.69647059,65.493125,62.56923077,51.40454545,77.40232558,64.2535865,60.1,60,60.5,0
51.95882353,57.78235294,45.5,59.5,54.4,40.40681818,70.90735294,50.2,67.97228261,61.64054054,66.0601626,58.45797101,51.7,63.74246575,58.90338983,36.3,60,61.4,68.95454545,61.5,70.1,72.3,60.97878788,60.4575,61.375,73.6,69.56648352,83.7,54.35111111,69.2544484,70.89090909,67.1,63.06760563,51.1,60,60.8,0
